Id,SalePrice
1461,124028.53562145031
1462,153859.1786724416
1463,183084.57285875318
1464,182688.71483111187
1465,195316.1117270941
1466,184218.9850067476
1467,167842.25169347675
1468,173077.9695068375
1469,173873.72197101274
1470,123291.93157365167
1471,204410.429586112
1472,90258.9428881563
1473,97736.08061920866
1474,152053.80863169808
1475,165123.14688931874
1476,368290.6127141976
1477,244546.43362550525
1478,302790.49921060284
1479,248410.96635626047
1480,467709.7095961886
1481,305630.82951631275
1482,202440.5389995614
1483,175072.05110644348
1484,187609.28405444423
1485,174375.83653601178
1486,198200.76721205845
1487,319281.2499789271
1488,224457.96605184276
1489,211185.622544637
1490,192280.51795493023
1491,190772.2905606273
1492,98492.0781444693
1493,173006.44892680185
1494,288256.576110389
1495,294684.91523406527
1496,224823.4506458544
1497,194534.55552163775
1498,154019.89720331627
1499,152058.6204923021
1500,155816.07468661803
1501,171455.00895791082
1502,172513.23706031006
1503,290741.55784086435
1504,231609.35635087537
1505,216684.90398423196
1506,180540.47489828282
1507,208584.03693632508
1508,201304.62727135187
1509,165929.22096063785
1510,152465.97103925448
1511,152281.49517717483
1512,169756.30022634898
1513,145047.37579961322
1514,153037.8922426113
1515,167623.63667757163
1516,156972.24100957194
1517,148408.02528873284
1518,128964.18705968432
1519,223362.428335044
1520,138218.05633250327
1521,146336.57731445748
1522,156997.31622229196
1523,115342.05782362501
1524,120996.77085512126
1525,123638.81738572451
1526,125491.87200934446
1527,104898.9246785967
1528,127655.01395105287
1529,146186.79978415475
1530,166715.58913782873
1531,126302.93350353168
1532,104867.4077612797
1533,142101.43864071884
1534,116739.28846700914
1535,149728.4866899563
1536,115814.14954001436
1537,80613.85830964101
1538,170562.14209370795
1539,202230.87501873742
1540,106081.95957351524
1541,145065.13945607166
1542,139564.9563540781
1543,210964.83070788148
1544,86840.62408085086
1545,96920.33448820192
1546,119740.74725326504
1547,132546.27981048758
1548,129614.75601935471
1549,110077.4947082997
1550,139589.25183153694
1551,115965.56644334158
1552,138857.21219083143
1553,136247.62765038045
1554,107058.26469974303
1555,167640.94533362793
1556,90745.00803925355
1557,120303.36983993379
1558,87336.63478412182
1559,106817.68404121668
1560,146353.29567691742
1561,134980.763250059
1562,126638.10219031898
1563,123184.04439262605
1564,164512.14232378194
1565,152816.31932767344
1566,190532.7213223558
1567,81829.68375505906
1568,223451.82910881322
1569,146755.01837948832
1570,129631.0568159656
1571,128409.82152840264
1572,145850.36022509538
1573,218796.79619883938
1574,113632.13935172308
1575,207189.29377475358
1576,214383.02722664454
1577,207535.4666448971
1578,140768.61250289407
1579,143207.1563934369
1580,194164.78408317082
1581,139601.1849167481
1582,129499.40958099469
1583,321731.63633705623
1584,243743.00098622148
1585,139566.407245304
1586,78858.49811170761
1587,104448.57746138182
1588,151173.83795019297
1589,100203.90036186935
1590,128536.88637729103
1591,102362.93414982283
1592,120309.1784138325
1593,111986.54755718929
1594,124179.3930829423
1595,117448.80543473273
1596,231965.8153761982
1597,160826.7123893655
1598,177989.32502258563
1599,198984.47341516186
1600,187085.24221642115
1601,78110.97474653412
1602,105794.83671597224
1603,93457.98673989791
1604,292422.8011617761
1605,250721.28941933461
1606,166472.9410965152
1607,151761.53870901934
1608,216896.30505524325
1609,197115.2177549805
1610,155259.67802509444
1611,147950.84723574543
1612,165724.4949467818
1613,162024.67234481475
1614,124212.08077783714
1615,86763.88095820895
1616,83944.19307259326
1617,93539.57283140777
1618,127274.59961080567
1619,128663.7019430026
1620,133764.856139604
1621,135568.62724944513
1622,154485.2840673435
1623,286811.24234046275
1624,211510.75461369296
1625,125162.97784189301
1626,172410.17865828832
1627,189367.59042317336
1628,276006.7096381044
1629,177545.47412313856
1630,329778.0603022031
1631,207812.11498045397
1632,241307.26614033367
1633,167710.08097098075
1634,182015.15672690197
